Name,State,Type
Ada County ID SO,ID,Sheriff's Office
Adams County WA SO,WA,Sheriff's Office
Albany OR PR,OR,
Auburn WA PD,WA,Police Department
Aurora CO PD,CO,Police Department
Bend OR PD,OR,Police Department
Benton County WA SO,WA,Sheriff's Office
Carson City NV SO,WA,Sheriff's Office
City of West Haven (UT),UT,
Cle Elum WA PD,WA,Police Department
Clearwater County ID SO,ID,Sheriff's Office
College Place WA PD,WA,Police Department
Colville WA Tribal Police,WA,Tribal Police
Cow Creek OR Tribal Police,OR,Tribal Police
Douglas County OR SO,OR,Sheriff's Office
Eagle Point OR PD,OR,Police Department
Florence OR PD,OR,Police Department
Granger WA PD,WA,Police Department
Grants Pass OR PD,OR,Police Department
Home Depot Corporation,??,Private Business
Houston TX PD,OR,Police Department
Jackson County OR SO,OR,Sheriff's Office
Jerome County ID SO,ID,Sheriff's Office
Kaysville UT PD,UT,Police Department
Klamath Falls OR PD,OR,Police Department
Lakewood WA PD,WA,Police Department
Lane County OR SO,OR,Sheriff's Office
Las Vegas Metro NV PD,NV,Police Department
Lincoln City OR PD,OR,Police Department
Lincoln County ID SO,ID,Sheriff's Office
Lowe's Corporation,??,Private Business
Medford OR PD,OR,Police Department
Mineral County NV SO,NV,Sheriff's Office
Montesano WA PD,OR,Police Department
Myrtle Creek OR PD,OR,Police Department
North Salt Lake UT PD,UT,Police Department
OR - Centra Point PD,OR,Police Department
OR - Josephine County SO,OR,Sheriff's Office
Oregon Community Credit Union,??,Private Business
Orting WA PD,WA,Police Department
Othello WA PD,WA,Police Department
Pleasant Grove UT PD,UT,Police Department
Pocatello ID PD,ID,Police Department
Reardan WA PD,WA,Police Department
Roseburg OR PD,OR,Police Department
Sparks Police Department - NV,NV,Police Department
Springfield OR PD,OR,Police Department
Sunnyside WA PD,OR,Police Department
Sunriver OR PD,OR,Police Department
Sutherlin OR PD,OR,Police Department
Talent OR PD,OR,Police Department
Tooele City PD UT,UT,Police Department
Twin Falls ID PD,ID,Police
UT - Cedar City PD,UT,Police Department
Wenatchee WA PD,WA,Police Department
Whitehall OH PD,OH,Police Department
Winston OR PD,OR,Police Department
Yakima County WA SO,WA,Sheriff's Office
Yakima WA PD,WA,Police Department
